Name	Beruf
König, Anne	Gesamtschulrektorin
König, Jörn	Diplom-Ingenieur (MBA)
Koeppen, Jens	Elektromeister
Körber, Carsten	Wirtschafts- und Unternehmensberater
Kofler, Dr. Bärbel	Sprachwissenschaftlerin
Komning, Enrico	Rechtsanwalt
Konrad, Carina	Diplom-Ingenieurin (FH)
Koob, Markus	
Kopf, Chantal	Politikwissenschaftlerin
Korte, Jan	Politikwissenschaftler (M. A.)
Koß, Simona	Lehrerin
Kotré, Steffen	Diplom-Ingenieur
Krämer, Philip	Politiker
Kraft, Laura	wiss. Mitarbeiterin
Kraft, Dr. Rainer	Diplom-Chemiker
Kramme, Anette	
Kreiser, Dunja	Abwassermeisterin
Krichbaum, Gunther	
Krings, Dr. Günter	Jurist
Krischer, Oliver	
Kröber, Martin	Geschäftsstellenleiter
Kruse, Michael	Unternehmer
Kuban, Tilman Moritz	Rechtsanwalt
Kubicki, Wolfgang	Rechtsanwalt / Diplom-Volkswirt
Kühn (Tübingen), Christian	Politologe
Kühnert, Kevin	Angestellter
Künast, Renate	Rechtsanwältin
Kuhle, Konstantin	Rechtsanwalt
Kurth, Markus	Politikwissenschaftler
Lahrkamp, Sarah	Politikwissenschaftlerin
Lambsdorff, Alexander Graf	Diplomat
Lang, Ricarda	Angestellte
Lange, Ulrich	Rechtsanwalt
Larem, Andreas	Groß- und Außenhandelskaufmann/ Bürgermeister
Laschet, Armin	Ministerpräsident a. D.
Latendorf, Ina	Juristin
Launert, Dr. Silke	
Lauterbach, Prof. Dr. Karl	
Lay, Caren	Diplom-Soziologin
Lechte, Ulrich	Betriebswirt (VWA)
Lehmann, Jens	Erzieher
Lehmann, Sven	Politikwissenschaftler
Lehmann, Sylvia	Ingenieurökonomin
Lehrieder, Paul	Rechtsanwalt
Leikert, Dr. Katja	
Leiser, Kevin	Lehrer
Lemke, Steffi	Diplom-Agraringenieurin
Lenders, Jürgen	Kaufmann
Lenk, Barbara	Bibliothekarin
Lenkert, Ralph	Maschinenbautechniker
Lenz, Dr. Andreas	
Leye, Christian	Ökonom
Licina-Bode, Luiza	Beamtin
Lieb, Dr. Thorsten	Rechtsanwalt
Liebert, Anja	Verwaltungsangestellte
Limbacher, Esra-Leon	Jurist
Limburg, Helge	Jurist
Lindemann, Lars	Rechtsanwalt
Lindh, Helge	Wissenschaftlicher Mitarbeiter
Lindholz, Andrea	Rechtsanwältin
Lindner, Christian	Politikwissenschaftler
Lindner, Dr. Tobias	Wirtschaftswissenschaftler
Link, Michael Georg	Übersetzer
Linnemann, Dr. Carsten	Diplom-Volkswirt
Lips, Patricia	Handelsfachwirtin
Lötzsch, Dr. Gesine	Philologin
Loop, Denise	Sozialarbeiterin
Loos, Bernhard	Wirtschafts- und Politikwissenschaftler
Lucassen, Rüdiger	Diplom-Kaufmann
Lucks, Max	Angestellter
Luczak, Dr. Jan-Marco	Rechtsanwalt
Ludwig, Daniela	
Lührmann, Dr. Anna	Politikwissenschaftlerin
Lütke, Kristine	Pflegeunternehmerin
Lugk, Bettina	Geowissenschaftlerin
Luksic, Oliver	Unternehmensberater
Maas, Heiko	Jurist
Machalet, Dr. Tanja	Diplom-Volkswirtin
Mack, Klaus	Diplom-Verwaltungswirt (FH)
Mackensen-Geis, Isabel	Politikwissenschaftlerin
Magwas, Yvonne	Diplom-Soziologin
Malottki, Erik von	Gewerkschafter
Mann, Holger	Mitglied des Landtages
Mansmann, Till	Diplom-Physiker
Mansoori, Kaweh	Rechtsanwalt
Martens, Zanda	Gewerkschaftssekretärin
Martin, Dorothee	Diplom-Politologin
Marvi, Parsa	Produktmanager Breitband
Mascheck, Franziska	Sozialarbeiterin
Mast, Katja	
Mattfeldt, Andreas	Industriekaufmann
Mayer (Altötting), Stephan	Rechtsanwalt
