Name	Partei	Beruf
Hoppenstedt, Dr. Hendrik	CDU/CSU	Jurist
Hoppermann, Franziska	CDU/CSU	leitende Regierungsdirektorin
Hostert, Jasmina	SPD	Politikwissenschaftlerin
Houben, Reinhard	FDP	Unternehmer
Huber, Johannes	AfD	Diplom-Soziologe, Finanzbuchhalter
Hubertz, Verena	SPD	Gründerin und Unternehmerin
Hümpfer, Markus	SPD	Ingenieur
Hunko, Andrej	Die Linke	Mediengestalter
Hüppe, Hubert	CDU/CSU	Diplom-Verwaltungswirt
Huy, Gerrit	AfD	Diplom-Mathematikerin
in der Beek, Olaf	FDP	
Irlstorfer, Erich	CDU/CSU	
Jacobi, Fabian	AfD	Rechtsanwalt
Janecek, Dieter	Grüne	Politikwissenschaftler
Janich, Steffen	AfD	Polizeibeamter
Janssen, Anne	CDU/CSU	Lehrerin
Jarzombek, Thomas	CDU/CSU	IT-Berater
Jensen, Gyde	FDP	Politikwissenschaftlerin (M.A.)
Jongen, Dr. Marc	AfD	Dozent für Philosophie
Jung, Andreas	CDU/CSU	
Junge, Frank	SPD	Diplom-Sportlehrer
Jung, Ingmar	CDU/CSU	
Juratovic, Josip	SPD	Kfz-Mechaniker
Jurisch, Dr. Ann-Veruschka	FDP	Juristin
Kaczmarek, Oliver	SPD	Sozialwissenschaftler
Kaddor, Lamya	Grüne	Islamwissenschaftlerin
Kaiser, Elisabeth	SPD	Politik- und Verwaltungswissenschaftlerin 
Kappert-Gonther, Dr. Kirsten	Grüne	Ärztin
Karaahmetoğlu, Macit	SPD	Rechtsanwalt
Karliczek, Anja	CDU/CSU	Diplom-Kauffrau
Kasper, Carlos	SPD	Zollbeamter
Kassautzki, Anna	SPD	Staatswissenschaftlerin
Katzmarek, Gabriele	SPD	Gewerkschaftssekretärin
Kaufmann, Dr. Malte	AfD	Diplom-Volkswirt
Kaufmann, Prof. Dr. Michael	AfD	Ingenieur
Keller, Rainer Johannes	SPD	Krankenpfleger und Notfallsanitäter
Kellner, Michael	Grüne	Bundesgeschäftsführer
Kemmer, Ronja	CDU/CSU	Volkswirtin
Kersten, Dr. Franziska	SPD	Tierärztin
Keul, Katja	Grüne	Rechtsanwältin
Keuter, Stefan	AfD	Bankkaufmann, Diplom-Betriebswirt (FH)
Khan, Misbah	Grüne	Landesvorsitzende
